nct_id,start_year,completion_year,phase,overall_status,primary_purpose
NCT00930293,2009.0,2012.0,Not Applicable,Completed,Treatment
NCT00930332,2010.0,2012.0,Phase 1,Terminated,Supportive Care
NCT00930553,2009.0,2016.0,Phase 3,Completed,Treatment
NCT00931060,2007.0,2009.0,Not Applicable,Completed,
NCT00931073,2009.0,2009.0,Phase 1,Completed,
NCT00931788,2009.0,2013.0,Phase 4,Completed,Prevention
NCT00931879,2009.0,2012.0,Phase 4,Completed,Treatment
NCT00931944,2009.0,2013.0,Phase 2,Completed,Treatment
NCT00931996,2009.0,2011.0,Not Applicable,Terminated,Basic Science
NCT00932529,2003.0,2010.0,Phase 4,Completed,Treatment
NCT00933608,2009.0,2011.0,Phase 4,Completed,Basic Science
NCT00933686,2007.0,2010.0,Phase 3,Completed,Treatment
NCT00933868,2009.0,2010.0,Phase 2/Phase 3,Completed,Treatment
NCT00934024,2009.0,2012.0,Not Applicable,Completed,Treatment
NCT00934050,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00934466,2009.0,2009.0,Phase 1,Completed,Diagnostic
NCT00934635,2009.0,2009.0,Phase 4,Terminated,Treatment
NCT00934687,2009.0,2010.0,Phase 2,Completed,Treatment
NCT00934908,2009.0,2009.0,Not Applicable,Withdrawn,Prevention
NCT00935246,2008.0,2016.0,Not Applicable,Unknown status,Treatment
NCT00935545,2009.0,2014.0,Phase 1,Completed,Treatment
NCT00935610,2009.0,2014.0,Phase 2,Completed,Health Services Research
NCT00936182,2009.0,2011.0,Not Applicable,Unknown status,Treatment
NCT00936299,2009.0,2013.0,Phase 4,Completed,Treatment
NCT00937157,2007.0,2011.0,Not Applicable,Completed,Diagnostic
NCT00937235,2009.0,2015.0,Phase 2,Completed,Treatment
NCT00937261,2009.0,2011.0,Phase 4,Unknown status,Treatment
NCT00937352,2009.0,2012.0,Phase 3,Terminated,Treatment
NCT00937404,2009.0,2009.0,Phase 1,Completed,Prevention
NCT00937521,2009.0,2012.0,Phase 2,Completed,Prevention
NCT00938184,2009.0,2009.0,Phase 1,Completed,Other
NCT00938301,2009.0,2009.0,Phase 1,Completed,Treatment
NCT00938314,2009.0,2010.0,Phase 2,Terminated,Treatment
NCT00938366,2008.0,2009.0,Phase 1,Completed,Treatment
NCT00938379,2009.0,2011.0,Phase 3,Unknown status,Prevention
NCT00938431,2009.0,2014.0,Phase 2,Completed,Treatment
NCT00938912,2009.0,2021.0,Phase 2,Completed,Treatment
NCT00939094,2009.0,2010.0,Phase 2,Terminated,Treatment
NCT00939523,2009.0,2018.0,Phase 2,Completed,Treatment
NCT00939549,2010.0,2010.0,Phase 2,Withdrawn,Treatment
NCT00939783,2009.0,2010.0,Phase 3,Terminated,Treatment
NCT00939822,2009.0,2013.0,Phase 2,Completed,Prevention
NCT00939887,2009.0,2009.0,Phase 1,Terminated,Basic Science
NCT00939991,2009.0,2013.0,Phase 1/Phase 2,Completed,Treatment
NCT00940589,2009.0,2013.0,Phase 2,Completed,Treatment
NCT00940719,2009.0,2010.0,Not Applicable,Completed,Basic Science
NCT00940914,2009.0,2010.0,Phase 2,Completed,Basic Science
NCT00941265,2007.0,2009.0,Not Applicable,Completed,Treatment
NCT00942097,2009.0,2012.0,Phase 2/Phase 3,Completed,Treatment
NCT00942214,2009.0,2011.0,Phase 4,Completed,Diagnostic
NCT00942253,2006.0,2010.0,Phase 2,Completed,Supportive Care
NCT00942591,2005.0,2009.0,Phase 2,Completed,Treatment
NCT00943748,2009.0,2011.0,Phase 2/Phase 3,Completed,Treatment
NCT00944034,2009.0,2012.0,Phase 2/Phase 3,Completed,Prevention
NCT00944502,2009.0,2009.0,Phase 3,Unknown status,Treatment
NCT00944554,2008.0,2011.0,Phase 4,Completed,Diagnostic
NCT00944710,2009.0,2013.0,Phase 3,Completed,Treatment
NCT00944957,2009.0,2010.0,Not Applicable,Unknown status,Treatment
NCT00945503,2008.0,2008.0,Phase 1,Completed,Treatment
NCT00945672,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00945919,2009.0,2011.0,Not Applicable,Unknown status,Supportive Care
NCT00946348,2009.0,2012.0,Phase 1,Completed,Basic Science
NCT00946491,1987.0,1987.0,Phase 1,Completed,Treatment
NCT00946751,2004.0,2004.0,Phase 1,Completed,Treatment
NCT00946764,2005.0,2005.0,Phase 1,Completed,Treatment
NCT00946985,2009.0,2010.0,Phase 4,Terminated,Prevention
NCT00946998,2010.0,2017.0,Phase 3,Completed,Treatment
NCT00947037,2012.0,,Phase 2,Withdrawn,Treatment
NCT00947076,2001.0,2001.0,Phase 1,Completed,Treatment
NCT00947154,2009.0,2010.0,Not Applicable,Completed,Treatment
NCT00947297,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00947323,2006.0,2008.0,Phase 3,Completed,Treatment
NCT00947375,2005.0,2007.0,Phase 4,Terminated,Treatment
NCT00947531,2006.0,2007.0,Phase 4,Completed,Treatment
NCT00947544,2010.0,2011.0,Phase 2,Completed,Treatment
NCT00947752,2009.0,2009.0,Phase 3,Completed,Treatment
NCT00947791,2009.0,2009.0,Phase 4,Terminated,Treatment
NCT00947895,2009.0,2011.0,Phase 2/Phase 3,Terminated,Treatment
NCT00948155,2009.0,2010.0,Phase 4,Completed,Treatment
NCT00948649,2006.0,2007.0,Phase 4,Completed,Screening
NCT00948766,2009.0,2012.0,Phase 4,Completed,Treatment
NCT00948909,2009.0,2010.0,Phase 2,Completed,Treatment
NCT00949026,2009.0,2010.0,Phase 1,Withdrawn,Basic Science
NCT00949767,2009.0,2010.0,Phase 1,Completed,
NCT00949806,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00949845,2007.0,,Early Phase 1,Completed,Basic Science
NCT00950196,2008.0,2009.0,Phase 4,Completed,Treatment
NCT00950391,2010.0,2015.0,Phase 1/Phase 2,Withdrawn,Treatment
NCT00950430,2008.0,2024.0,Phase 4,Enrolling by invitation,Diagnostic
NCT00950521,2009.0,2010.0,Phase 2,Completed,Treatment
NCT00951132,2009.0,2013.0,Phase 2,Withdrawn,Treatment
NCT00951483,2009.0,2011.0,Phase 4,Completed,Treatment
NCT00951834,2009.0,2015.0,Phase 2/Phase 3,Completed,Treatment
NCT00952081,2009.0,2010.0,Phase 4,Completed,Treatment
NCT00952393,2010.0,2014.0,Phase 1,Completed,Treatment
NCT00952432,2009.0,2011.0,Not Applicable,Unknown status,Treatment
NCT00952601,2008.0,2010.0,Phase 1,Terminated,Treatment
NCT00952887,2009.0,2011.0,Phase 1,Completed,Treatment
NCT00954122,2009.0,2010.0,Phase 4,Completed,Treatment
NCT00954252,2009.0,2010.0,Phase 1,Completed,
NCT00954369,2009.0,2010.0,Early Phase 1,Completed,
NCT00954538,2009.0,2011.0,Phase 1,Completed,Diagnostic
NCT00954603,2009.0,2012.0,Phase 3,Terminated,Treatment
NCT00954681,2009.0,2010.0,Phase 2,Completed,Treatment
NCT00954902,2009.0,2010.0,Not Applicable,Completed,Prevention
NCT00955045,2002.0,2003.0,Phase 2/Phase 3,Completed,
NCT00955253,2010.0,2014.0,Phase 2,Completed,Treatment
NCT00955318,2009.0,2012.0,Phase 3,Completed,Treatment
NCT00955357,2009.0,2013.0,Phase 4,Completed,Treatment
NCT00955409,2009.0,2013.0,Phase 2,Completed,Treatment
NCT00955500,2003.0,2009.0,Phase 4,Completed,Prevention
NCT00955526,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00955877,2010.0,2015.0,Not Applicable,Terminated,Treatment
NCT00955929,2009.0,2020.0,Not Applicable,Terminated,Treatment
NCT00955955,2009.0,2011.0,Phase 4,Completed,Treatment
NCT00956085,2009.0,2015.0,Phase 2,Completed,Treatment
NCT00956319,2009.0,2010.0,Phase 4,Completed,Treatment
NCT00956410,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00956943,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00957047,2004.0,2008.0,Phase 3,Completed,Treatment
NCT00957203,2009.0,2012.0,Phase 3,Completed,Treatment
NCT00957372,2004.0,2008.0,Phase 3,Completed,Treatment
NCT00957424,2009.0,2011.0,Not Applicable,Completed,
NCT00957671,2003.0,2015.0,Phase 4,Completed,Treatment
NCT00957788,2009.0,2013.0,Phase 1,Terminated,Treatment
NCT00957801,2009.0,2015.0,Phase 4,Completed,Treatment
NCT00957918,2009.0,2010.0,Phase 1/Phase 2,Completed,Treatment
NCT00957983,2009.0,2010.0,Phase 1/Phase 2,Completed,Treatment
NCT00957996,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00958009,2009.0,2010.0,Phase 3,Completed,
NCT00958282,2009.0,2013.0,Phase 2,Completed,Treatment
NCT00958841,2009.0,2015.0,Phase 2,Terminated,Treatment
NCT00959192,2009.0,2013.0,Phase 2,Completed,Treatment
NCT00960219,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00960245,1994.0,1994.0,Phase 1,Completed,Treatment
NCT00960531,2009.0,2013.0,Phase 2,Terminated,Treatment
NCT00960778,2009.0,2012.0,Phase 2,Completed,Treatment
NCT00960830,2007.0,2008.0,Not Applicable,Completed,Prevention
NCT00961194,2009.0,2014.0,Phase 2,Completed,Supportive Care
NCT00961441,2009.0,2010.0,Phase 2,Completed,Treatment
NCT00961532,2010.0,2013.0,Phase 2,Completed,Treatment
NCT00961766,2009.0,2012.0,Phase 1,Completed,Treatment
NCT00961779,2010.0,2010.0,Phase 1,Completed,Treatment
NCT00961922,2010.0,2014.0,Not Applicable,Unknown status,Treatment
NCT00961961,2009.0,2016.0,Phase 4,Completed,Treatment
NCT00962429,2009.0,2013.0,Phase 2,Completed,Treatment
NCT00962988,2009.0,2015.0,Phase 4,Completed,Prevention
NCT00963638,2009.0,2009.0,Not Applicable,Completed,Treatment
NCT00963846,2010.0,2012.0,Phase 2,Completed,Treatment
NCT00963898,2007.0,2008.0,Not Applicable,Completed,Supportive Care
NCT00963924,2009.0,2011.0,Not Applicable,Completed,Treatment
NCT00963937,2009.0,2010.0,Phase 3,Completed,Treatment
NCT00963976,2007.0,2012.0,Phase 2,Completed,Treatment
NCT00964028,2009.0,2010.0,Phase 3,Completed,Prevention
NCT00964041,2009.0,2011.0,Phase 4,Withdrawn,Treatment
NCT00964288,2009.0,2009.0,Phase 1,Terminated,Treatment
NCT00964340,2009.0,2010.0,Phase 1,Completed,Basic Science
NCT00964639,2009.0,2013.0,Phase 4,Completed,Treatment
NCT00964912,2008.0,2009.0,Phase 1,Completed,Treatment
NCT00964990,2009.0,2011.0,Phase 2,Terminated,Treatment
NCT00965263,2003.0,2009.0,Phase 2,Completed,Treatment
NCT00965432,2009.0,2010.0,Phase 1,Completed,Treatment
NCT00965497,2009.0,2010.0,Phase 3,Completed,Treatment
NCT00965575,2011.0,2014.0,Phase 2,Completed,Treatment
NCT00965588,2009.0,2011.0,Phase 1,Completed,Treatment
NCT00965809,2009.0,2013.0,Phase 4,Unknown status,Treatment
NCT00965887,2008.0,2008.0,Phase 1,Completed,Treatment
NCT00966030,2008.0,2008.0,Phase 1,Completed,Treatment
NCT00967005,2009.0,2014.0,Phase 2,Completed,Treatment
NCT00967135,2010.0,2012.0,Not Applicable,Completed,Prevention
NCT00967408,2009.0,2011.0,Phase 4,Unknown status,Treatment
NCT00968097,2008.0,2008.0,Phase 1,Terminated,Diagnostic
NCT00968227,2007.0,2015.0,Phase 1/Phase 2,Completed,Treatment
NCT00968851,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00969059,2009.0,2010.0,Phase 2,Completed,Treatment
NCT00969137,2009.0,2016.0,Phase 1,Completed,Health Services Research
NCT00969878,2010.0,2014.0,Phase 2,Completed,Treatment
NCT00970229,2009.0,2015.0,Phase 1,Completed,Diagnostic
NCT00970281,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00970307,2009.0,2010.0,Phase 2,Completed,Prevention
NCT00970333,2009.0,2010.0,Phase 1,Completed,Diagnostic
NCT00970450,2009.0,2010.0,Not Applicable,Completed,Basic Science
NCT00970658,2009.0,2010.0,Phase 3,Unknown status,Treatment
NCT00970944,2003.0,2010.0,Phase 2/Phase 3,Completed,Treatment
NCT00971295,2007.0,2008.0,Phase 1,Completed,Treatment
NCT00971685,2009.0,2011.0,Phase 2,Unknown status,Treatment
NCT00971815,2009.0,2014.0,Not Applicable,Completed,Basic Science
NCT00972062,2009.0,2010.0,Not Applicable,Completed,Treatment
NCT00972075,2006.0,2007.0,Phase 2,Completed,Treatment
NCT00973674,2009.0,2012.0,Phase 2,Completed,Treatment
NCT00973739,2009.0,2012.0,Phase 2,Completed,Treatment
NCT00973999,2009.0,2011.0,Phase 2,Withdrawn,Treatment
NCT00974155,2009.0,2014.0,Phase 4,Completed,Treatment
NCT00974246,2009.0,2011.0,Phase 4,Completed,Treatment
NCT00974376,2009.0,2016.0,Phase 2,Completed,Treatment
NCT00974974,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00975325,2009.0,2010.0,Phase 4,Completed,
NCT00975416,2008.0,2013.0,Phase 4,Terminated,Treatment
NCT00975481,2009.0,2010.0,Phase 1,Completed,
NCT00975611,2009.0,2012.0,Phase 4,Terminated,Treatment
NCT00975689,2009.0,2010.0,Phase 1/Phase 2,Completed,Treatment
NCT00975962,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00976118,2006.0,2009.0,Phase 2,Completed,Treatment
NCT00976352,2010.0,2015.0,Phase 1/Phase 2,Completed,Treatment
NCT00976534,2009.0,2010.0,Phase 2,Terminated,Treatment
NCT00977171,2010.0,2011.0,Phase 2,Terminated,Treatment
NCT00977249,2009.0,2011.0,Phase 2/Phase 3,Unknown status,Treatment
NCT00977353,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00977522,2009.0,2010.0,Phase 2,Terminated,Treatment
NCT00977665,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00977795,2009.0,2010.0,Phase 1/Phase 2,Withdrawn,Treatment
NCT00978341,2007.0,2008.0,Not Applicable,Terminated,Other
NCT00978822,2009.0,2012.0,Phase 2,Terminated,Treatment
NCT00979004,2009.0,2010.0,Phase 2,Terminated,Treatment
NCT00979316,2009.0,2010.0,Phase 1,Completed,
NCT00979589,2009.0,2012.0,Phase 3,Completed,Prevention
NCT00980044,2009.0,2012.0,Phase 2/Phase 3,Completed,Treatment
NCT00980694,2009.0,2012.0,Phase 1,Completed,
NCT00980785,2009.0,2011.0,Phase 4,Completed,Prevention
NCT00981084,2009.0,2011.0,Phase 2/Phase 3,Completed,Treatment
NCT00981175,2003.0,2008.0,Phase 2,Completed,Prevention
NCT00981227,2007.0,2009.0,Phase 2,Completed,Treatment
NCT00981383,2010.0,2016.0,Phase 3,Completed,Treatment
NCT00981526,2009.0,2012.0,Phase 4,Completed,Treatment
NCT00981630,2004.0,2007.0,Phase 2,Completed,Prevention
NCT00982020,2009.0,2013.0,Phase 4,Completed,Treatment
NCT00982137,2004.0,2007.0,Phase 2,Completed,Prevention
NCT00982150,2009.0,2010.0,Phase 2,Terminated,Treatment
NCT00982202,2002.0,2005.0,Phase 2,Completed,Treatment
NCT00982787,2009.0,2011.0,Phase 2,Withdrawn,Treatment
NCT00982982,2009.0,2013.0,Early Phase 1,Completed,Basic Science
NCT00983320,2008.0,2011.0,Phase 4,Completed,Treatment
NCT00983437,2009.0,2011.0,Phase 3,Terminated,Treatment
NCT00983736,2009.0,2010.0,Phase 3,Terminated,
NCT00983983,2009.0,2013.0,Phase 2,Completed,Treatment
NCT00984984,2008.0,2014.0,Phase 3,Unknown status,Treatment
NCT00985517,2009.0,2017.0,Phase 1/Phase 2,Completed,Treatment
NCT00986115,2010.0,2012.0,Not Applicable,Withdrawn,Supportive Care
NCT00986128,2001.0,2002.0,Phase 1,Completed,Treatment
NCT00986167,2009.0,2010.0,Phase 4,Unknown status,Treatment
NCT00986245,2009.0,2010.0,Phase 4,Completed,Treatment
NCT00986258,2009.0,2011.0,Phase 3,Terminated,Treatment
NCT00986336,2001.0,2002.0,Phase 1,Completed,Treatment
NCT00986414,2009.0,,Phase 2,Completed,Treatment
NCT00986505,2005.0,2007.0,Not Applicable,Completed,Treatment
NCT00986531,2009.0,2011.0,Phase 1,Completed,Basic Science
NCT00986596,2006.0,2011.0,Not Applicable,Completed,Treatment
NCT00986895,2006.0,2007.0,Phase 1,Completed,Treatment
NCT00986960,2009.0,2010.0,Phase 2,Withdrawn,Treatment
NCT00986973,2010.0,2011.0,Not Applicable,Completed,Treatment
NCT00987090,2009.0,,Not Applicable,Unknown status,Diagnostic
NCT00987116,2009.0,2017.0,Phase 4,Completed,Treatment
NCT00987454,2010.0,2015.0,Phase 3,Completed,Treatment
NCT00987558,2009.0,2009.0,Phase 1,Completed,Treatment
NCT00988429,2008.0,2012.0,Phase 3,Completed,Treatment
NCT00988481,2009.0,2010.0,Phase 4,Withdrawn,Treatment
NCT00988598,2009.0,2010.0,Phase 1,Completed,Treatment
NCT00988624,2009.0,2009.0,Phase 1,Completed,
NCT00988728,2011.0,2012.0,Phase 2,Withdrawn,Treatment
NCT00988949,2009.0,2009.0,Phase 1,Completed,Basic Science
NCT00988962,2009.0,2011.0,Not Applicable,Completed,Treatment
NCT00988988,2010.0,2012.0,Phase 4,Withdrawn,Treatment
NCT00989053,2010.0,2012.0,Not Applicable,Unknown status,Treatment
NCT00989209,2005.0,2006.0,Not Applicable,Completed,Treatment
NCT00989625,2008.0,2009.0,Phase 1,Completed,Other
NCT00989716,2001.0,2013.0,Phase 3,Unknown status,Treatment
NCT00989742,2009.0,2013.0,Phase 4,Completed,Treatment
NCT00989937,2009.0,2011.0,Not Applicable,Terminated,Treatment
NCT00990028,2009.0,2011.0,Phase 1/Phase 2,Completed,Treatment
NCT00990067,2009.0,2010.0,Phase 1,Completed,Basic Science
NCT00990106,2009.0,2013.0,Not Applicable,Completed,Treatment
NCT00990509,2009.0,2013.0,Phase 2,Terminated,Treatment
NCT00990613,2009.0,2010.0,Phase 1,Completed,
NCT00990691,2009.0,2017.0,Phase 2,Completed,Treatment
NCT00990834,2009.0,2011.0,Not Applicable,Withdrawn,Basic Science
NCT00991029,2010.0,2018.0,Phase 3,Terminated,Treatment
NCT00991068,2009.0,2010.0,Phase 2,Completed,Treatment
NCT00991172,2009.0,2010.0,Phase 2,Completed,Treatment
NCT00991276,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00991419,2010.0,2011.0,Phase 2,Completed,Diagnostic
NCT00991757,2007.0,2010.0,Phase 3,Completed,Treatment
NCT00991809,2009.0,2010.0,Not Applicable,Completed,Basic Science
NCT00991848,2005.0,2008.0,Phase 1,Completed,Treatment
NCT00992160,2009.0,2009.0,Phase 2,Completed,Treatment
NCT00992407,2007.0,2010.0,Phase 4,Completed,Treatment
NCT00992459,2009.0,2010.0,Phase 3,Completed,Treatment
NCT00992771,2009.0,2011.0,Phase 2,Completed,Treatment
NCT00993018,2009.0,2011.0,Phase 2,Terminated,Treatment
NCT00993057,2009.0,2012.0,Early Phase 1,Completed,Treatment
NCT00993265,2009.0,2014.0,Phase 2,Completed,Treatment
NCT00993356,2004.0,2010.0,Phase 2,Unknown status,Treatment
NCT00994214,2009.0,2011.0,Phase 2,Terminated,Treatment
NCT00994695,2005.0,2007.0,Phase 2,Completed,Prevention
NCT00994786,2009.0,2019.0,Phase 4,Completed,Treatment
NCT00995683,2009.0,2011.0,Phase 2/Phase 3,Completed,Prevention
NCT00996034,2009.0,2011.0,Phase 2,Completed,Health Services Research
NCT00996164,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00996242,2007.0,2009.0,Not Applicable,Completed,Treatment
NCT00996372,2009.0,2011.0,Phase 3,Completed,Treatment
NCT00996918,2009.0,2012.0,Phase 3,Terminated,Treatment
NCT00996944,2009.0,2010.0,Phase 2,Terminated,Treatment
NCT00996983,2009.0,2024.0,Phase 2,"Active, not recruiting",Treatment
NCT00997087,2009.0,2012.0,Phase 2,Terminated,Treatment
NCT00997412,2009.0,2011.0,Not Applicable,Unknown status,Treatment
NCT00997438,2010.0,2013.0,Phase 1,Completed,Treatment
NCT00997490,2001.0,2003.0,Phase 3,Terminated,Treatment
NCT00997672,2009.0,2011.0,Phase 2,Terminated,Treatment
NCT00998608,2007.0,2009.0,Phase 4,Terminated,Treatment
NCT00998764,2009.0,2012.0,Phase 3,Terminated,Treatment
NCT00998972,2006.0,2011.0,Phase 3,Completed,Treatment
NCT00999167,2009.0,2012.0,Phase 2,Completed,Treatment
NCT00999180,2009.0,2012.0,Phase 3,Unknown status,Treatment
NCT00999219,2006.0,2007.0,Phase 3,Completed,Treatment
NCT00999505,2010.0,2011.0,Phase 3,Unknown status,Treatment
NCT00999544,2009.0,2011.0,Not Applicable,Completed,Basic Science
NCT01000064,2009.0,2015.0,Phase 3,Terminated,Treatment
NCT01000350,2009.0,2024.0,Not Applicable,"Active, not recruiting",Treatment
NCT01000402,2008.0,2014.0,Phase 4,Unknown status,
NCT01000493,2009.0,2010.0,Phase 2,Completed,Treatment
NCT01000857,2009.0,2010.0,Phase 1,Completed,Other
NCT01000870,2009.0,2010.0,Early Phase 1,Terminated,Diagnostic
NCT01001520,2010.0,2012.0,Phase 2,Completed,Treatment
NCT01001637,2009.0,2010.0,Not Applicable,Terminated,Treatment
NCT01001702,2006.0,2012.0,Phase 3,Completed,Treatment
NCT01001988,2009.0,2013.0,Phase 3,Completed,Prevention
NCT01002079,2010.0,2010.0,Phase 1,Completed,Basic Science
NCT01002300,2009.0,2010.0,Not Applicable,Completed,Treatment
NCT01002820,2009.0,2013.0,Phase 2,Completed,Treatment
NCT01003379,2009.0,2010.0,Phase 2,Completed,Treatment
NCT01003639,2010.0,2014.0,Phase 2/Phase 3,Completed,Treatment
NCT01004016,,,Phase 2,Completed,Treatment
NCT01004042,2009.0,2010.0,Phase 4,Completed,Treatment
NCT01004354,2009.0,2010.0,Not Applicable,Completed,Treatment
NCT01005004,2009.0,2012.0,Phase 1,Completed,
NCT01005810,2009.0,2011.0,Phase 2,Completed,Treatment
NCT01005862,2010.0,2012.0,Phase 1,Completed,Treatment
NCT01006122,2009.0,2010.0,Phase 2,Completed,Treatment
NCT01006265,2009.0,2011.0,Phase 2,Completed,Treatment
NCT01006460,2009.0,2010.0,Not Applicable,Completed,Treatment
NCT01006551,2002.0,2006.0,Phase 2,Completed,Treatment
NCT01006694,2010.0,2012.0,Not Applicable,Completed,Treatment
NCT01006707,2010.0,2013.0,Not Applicable,Completed,Treatment
NCT01006811,2009.0,2010.0,Phase 2/Phase 3,Completed,Treatment
NCT01007071,2009.0,2012.0,Phase 3,Completed,Treatment
NCT01007630,2009.0,2014.0,Phase 4,Unknown status,Treatment
NCT01007747,2008.0,2011.0,Not Applicable,Completed,Treatment
NCT01007773,2010.0,2012.0,Phase 2,Withdrawn,Supportive Care
NCT01007864,2010.0,2011.0,Phase 3,Completed,Treatment
NCT01008098,2008.0,2014.0,Phase 2,Unknown status,Treatment
NCT01008293,2009.0,2012.0,Phase 2/Phase 3,Completed,Treatment
NCT01008553,2008.0,2010.0,Phase 3,Completed,Treatment
NCT01009047,2009.0,2012.0,Phase 3,Completed,Treatment
NCT01009060,2009.0,2011.0,Phase 2,Completed,Treatment
NCT01009255,2009.0,2010.0,Phase 2,Completed,Treatment
NCT01009294,2010.0,2010.0,Phase 2,Terminated,Treatment
NCT01010204,2010.0,2013.0,Phase 4,Completed,Treatment
NCT01010477,2009.0,2012.0,Phase 4,Completed,Treatment
NCT01010711,2009.0,2011.0,Not Applicable,Unknown status,Treatment
NCT01010776,2008.0,2009.0,Phase 4,Completed,Treatment
NCT01010789,2009.0,2015.0,Phase 3,Completed,Treatment
NCT01010802,2008.0,2009.0,Phase 1,Completed,Prevention
NCT01010932,2009.0,2010.0,Phase 3,Completed,Diagnostic
NCT01011374,2009.0,2013.0,Phase 1,Unknown status,Treatment
NCT01011829,2009.0,2010.0,Phase 2,Completed,Treatment
NCT01011907,2010.0,2012.0,Not Applicable,Completed,Basic Science
NCT01012167,2010.0,2014.0,Phase 2,Completed,Treatment
NCT01012674,2009.0,2010.0,Phase 3,Completed,Diagnostic
NCT01012830,2009.0,2011.0,Phase 4,Unknown status,Treatment
NCT01013480,2009.0,2012.0,Phase 2,Terminated,Treatment
NCT01013532,2009.0,2016.0,Phase 4,Unknown status,Prevention
NCT01013870,2010.0,2015.0,Phase 2,Terminated,Treatment
NCT01014221,2007.0,2009.0,Not Applicable,Completed,Treatment
NCT01014403,2009.0,2011.0,Phase 1,Completed,Treatment
NCT01014585,2009.0,,Phase 4,Completed,Treatment
NCT01014767,2009.0,2014.0,Phase 3,Terminated,Treatment
NCT01014858,2013.0,2014.0,Phase 3,Terminated,Treatment
NCT01015001,2008.0,2009.0,Phase 3,Completed,Treatment
NCT01015170,2009.0,2015.0,Phase 4,Completed,Treatment
NCT01015430,2009.0,2011.0,Phase 2,Completed,Treatment
NCT01015482,2009.0,2010.0,Phase 4,Unknown status,Basic Science
NCT01015534,2006.0,2009.0,Phase 2,Completed,Treatment
NCT01015586,2010.0,2014.0,Phase 4,Completed,Treatment
NCT01016119,2009.0,2010.0,Phase 3,Completed,Treatment
NCT01016366,2009.0,2011.0,Phase 2,Completed,Treatment
NCT01016470,2009.0,2011.0,Phase 3,Completed,Treatment
NCT01016522,2009.0,2012.0,Phase 3,Terminated,Treatment
NCT01016678,2010.0,2014.0,Phase 2/Phase 3,Completed,Treatment
NCT01016834,2009.0,2010.0,Phase 4,Completed,Treatment
NCT01017159,2010.0,2011.0,Phase 2,Completed,Treatment
NCT01018056,2009.0,2013.0,Phase 4,Completed,Treatment
NCT01018394,2009.0,2012.0,Phase 2/Phase 3,Completed,Treatment
NCT01018485,2008.0,2010.0,Phase 3,Completed,Treatment
NCT01018732,2010.0,2010.0,Phase 2,Completed,Prevention
NCT01018875,2009.0,2011.0,Phase 2,Completed,Treatment
NCT01018992,2009.0,2014.0,Phase 2,Completed,Diagnostic
NCT01019421,2009.0,,Phase 2,Completed,Treatment
NCT01019473,2009.0,,Phase 2,Terminated,Treatment
NCT01020019,2010.0,2014.0,Phase 2/Phase 3,Completed,Treatment
NCT01020331,2005.0,2009.0,Phase 2,Completed,Treatment
NCT01020474,2010.0,2014.0,Phase 4,Completed,Treatment
NCT01020526,2010.0,2015.0,Phase 4,Completed,Treatment
NCT01020838,2009.0,2013.0,Phase 3,Completed,Diagnostic
NCT01021215,2010.0,2013.0,Phase 1/Phase 2,Completed,Prevention
NCT01021293,2009.0,2010.0,Phase 3,Completed,Prevention
NCT01021553,2009.0,2011.0,Phase 2,Completed,Treatment
NCT01021696,2009.0,2010.0,Phase 2/Phase 3,Completed,Treatment
NCT01023282,2009.0,2011.0,Phase 1,Completed,Treatment
NCT01023425,2008.0,2009.0,Not Applicable,Completed,Treatment
NCT01023659,2010.0,2011.0,Phase 4,Completed,Treatment
NCT01023685,2009.0,2012.0,Phase 2,Completed,Treatment
NCT01023867,2007.0,2010.0,Not Applicable,Completed,Treatment
NCT01024192,2009.0,2010.0,Phase 4,Completed,Treatment
NCT01024491,2008.0,2009.0,Phase 3,Completed,Treatment
NCT01024660,2009.0,2011.0,Early Phase 1,Completed,Basic Science
NCT01024777,2010.0,2013.0,Phase 1,Completed,Treatment
NCT01024972,2009.0,2013.0,Phase 1/Phase 2,Completed,Treatment
NCT01025219,2009.0,2012.0,Not Applicable,Unknown status,Diagnostic
NCT01025245,2009.0,2010.0,Phase 4,Completed,Prevention
NCT01025271,2010.0,2011.0,Not Applicable,Terminated,Diagnostic
NCT01025466,2008.0,2010.0,Phase 4,Completed,Treatment
NCT01026311,2009.0,2011.0,Phase 4,Completed,Treatment
NCT01026428,2009.0,,Phase 1/Phase 2,Completed,
NCT01026818,2009.0,2012.0,Phase 4,Completed,Treatment
