nct_id,start_year,agency_class,lead_or_collaborator,sponsor_name,phase
NCT00617123,2008.0,OTHER,collaborator,Duke Clinical Research Institute,Phase 3
NCT00617201,2007.0,OTHER,lead,Sharon Walsh,Phase 2
NCT00617201,2007.0,INDUSTRY,collaborator,Eli Lilly and Company,Phase 2
NCT00617201,2007.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00617461,2008.0,INDUSTRY,lead,"XenoPort, Inc.",Phase 2
NCT00617695,2003.0,INDUSTRY,lead,AstraZeneca,Phase 3
NCT00617747,2002.0,INDUSTRY,lead,AstraZeneca,Phase 3
NCT00618046,2004.0,INDUSTRY,lead,Roxane Laboratories,Not Applicable
NCT00618280,2008.0,OTHER,lead,"Heinrich-Heine University, Duesseldorf",Phase 1/Phase 2
NCT00618280,2008.0,OTHER,collaborator,German Research Foundation,Phase 1/Phase 2
NCT00618436,2007.0,OTHER,lead,University of Cincinnati,Phase 4
NCT00618436,2007.0,OTHER,collaborator,Mayfield Clinic & Spine Institute,Phase 4
NCT00618527,2006.0,OTHER,lead,Aaron Boster,Early Phase 1
NCT00618527,2006.0,INDUSTRY,collaborator,EMD Serono,Early Phase 1
NCT00618527,2006.0,INDUSTRY,collaborator,Pfizer,Early Phase 1
NCT00618865,2004.0,OTHER_GOV,lead,"National Science Council, Taiwan",Not Applicable
NCT00618956,2007.0,INDUSTRY,lead,Forest Laboratories,Phase 3
NCT00618956,2007.0,INDUSTRY,collaborator,"Cypress Bioscience, Inc.",Phase 3
NCT00619190,2006.0,OTHER,lead,"University of North Carolina, Chapel Hill",Phase 2
NCT00619190,2006.0,INDUSTRY,collaborator,Bristol-Myers Squibb,Phase 2
NCT00619203,2008.0,OTHER,lead,Kamuzu University of Health Sciences,Phase 3
NCT00619333,2007.0,OTHER,lead,Maastricht University Medical Center,Not Applicable
NCT00619333,2007.0,OTHER,collaborator,The Dutch Galactosemia Society,Not Applicable
NCT00619476,2008.0,INDUSTRY,lead,"XenoPort, Inc.",Phase 2
NCT00619502,2007.0,INDUSTRY,lead,"Sanofi Pasteur, a Sanofi Company",Phase 3
NCT00619619,2008.0,INDUSTRY,lead,Wyeth is now a wholly owned subsidiary of Pfizer,Phase 2
NCT00619723,2008.0,OTHER,lead,University of Texas Southwestern Medical Center,Phase 4
NCT00619723,2008.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 4
NCT00619892,2008.0,OTHER,lead,Indiana University,Phase 4
NCT00619892,2008.0,INDUSTRY,collaborator,AstraZeneca,Phase 4
NCT00620165,2005.0,OTHER,lead,Southern California Institute for Research and Education,Phase 1/Phase 2
NCT00620555,2008.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 3
NCT00620659,2008.0,INDUSTRY,lead,Merck Sharp & Dohme LLC,Phase 2
NCT00621010,2007.0,INDUSTRY,lead,CoMentis,Phase 1
NCT00621478,2008.0,NIH,lead,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Phase 2/Phase 3
NCT00621517,2008.0,OTHER,lead,East Tennessee State University,Phase 2/Phase 3
NCT00621634,2008.0,OTHER,lead,Université de Montréal,Phase 2
NCT00621634,2008.0,OTHER,collaborator,National Alliance for Research on Schizophrenia and Depression,Phase 2
NCT00621647,2002.0,INDUSTRY,lead,AstraZeneca,Phase 3
NCT00621751,2008.0,OTHER,lead,Wake Forest University Health Sciences,Not Applicable
NCT00621751,2008.0,FED,collaborator,U.S. Department of Education,Not Applicable
NCT00621764,2008.0,INDUSTRY,lead,"Sanofi Pasteur, a Sanofi Company",Phase 2
NCT00621777,2008.0,OTHER,lead,Massachusetts General Hospital,Phase 4
NCT00621777,2008.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 4
NCT00621842,2008.0,OTHER,lead,University Hospitals Cleveland Medical Center,Phase 3
NCT00621842,2008.0,INDUSTRY,collaborator,GlaxoSmithKline,Phase 3
NCT00622011,2008.0,OTHER,lead,Changhua Christian Hospital,Phase 4
NCT00622570,2002.0,OTHER,lead,Hospital Universitari Son Dureta,Phase 3
NCT00622570,2002.0,OTHER,collaborator,Fondo de Investigacion Sanitaria,Phase 3
NCT00622609,2007.0,INDUSTRY,lead,GlaxoSmithKline,Phase 1
NCT00622700,2008.0,INDUSTRY,lead,Sanofi,Phase 3
NCT00622713,2008.0,INDUSTRY,lead,Novartis,Phase 4
NCT00622739,2007.0,OTHER,lead,Baylor College of Medicine,Phase 4
NCT00622739,2007.0,OTHER,collaborator,Stanley Medical Research Institute,Phase 4
NCT00622739,2007.0,INDUSTRY,collaborator,Pfizer,Phase 4
NCT00622739,2007.0,OTHER,collaborator,Children's Medical Center Dallas,Phase 4
NCT00623363,2007.0,INDUSTRY,lead,Daiichi Sankyo,Phase 2
NCT00623415,2007.0,OTHER,lead,"Charite University, Berlin, Germany",Phase 2
NCT00623415,2007.0,INDUSTRY,collaborator,Bayer,Phase 2
NCT00623467,2007.0,INDUSTRY,lead,Bayer,Phase 3
NCT00623506,2008.0,FED,lead,Durham VA Medical Center,Not Applicable
NCT00623636,2008.0,INDUSTRY,lead,Allergan,Phase 3
NCT00623636,2008.0,INDUSTRY,collaborator,"MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan",Phase 3
NCT00624013,2006.0,OTHER,lead,Charles Drew University of Medicine and Science,Phase 4
NCT00624026,2007.0,INDUSTRY,lead,Merz Pharmaceuticals GmbH,Phase 3
NCT00624468,2008.0,INDUSTRY,lead,EMD Serono,Phase 2
NCT00624468,2008.0,INDUSTRY,collaborator,"Merck KGaA, Darmstadt, Germany",Phase 2
NCT00624858,2008.0,INDUSTRY,lead,"Orexigen Therapeutics, Inc",Phase 2
NCT00625131,2008.0,FED,lead,US Department of Veterans Affairs,Early Phase 1
NCT00625547,2003.0,INDUSTRY,lead,Pfizer,Phase 3
NCT00625833,2007.0,INDUSTRY,lead,Pfizer,Phase 2
NCT00625950,2008.0,OTHER,lead,"Instituto Valenciano de Infertilidad, IVI VALENCIA",Phase 4
NCT00626210,2008.0,FED,lead,VA Palo Alto Health Care System,Phase 4
NCT00626340,1999.0,OTHER,lead,University of Pennsylvania,Phase 4
NCT00626418,2008.0,INDUSTRY,lead,Ligand Pharmaceuticals,Phase 2
NCT00626574,2007.0,OTHER,lead,University of South Florida,Phase 4
NCT00626574,2007.0,INDUSTRY,collaborator,"Ortho Biotech, Inc.",Phase 4
NCT00626613,,OTHER_GOV,lead,Jinan Mental Hospital,Phase 4
NCT00626613,,INDUSTRY,collaborator,Johnson & Johnson,Phase 4
NCT00626834,2008.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00627003,2002.0,INDUSTRY,lead,Pfizer,Phase 3
NCT00627250,2003.0,OTHER,lead,Wake Forest University Health Sciences,Not Applicable
NCT00627250,2003.0,FED,collaborator,U.S. Department of Education,Not Applicable
NCT00627458,2008.0,INDUSTRY,lead,GlaxoSmithKline,Phase 2
NCT00627575,2008.0,INDUSTRY,lead,GlaxoSmithKline,Phase 1
NCT00627588,2008.0,INDUSTRY,lead,Oxford BioMedica,Phase 1/Phase 2
NCT00627640,2009.0,INDUSTRY,lead,Newron Pharmaceuticals SPA,Phase 3
NCT00627796,2003.0,OTHER,lead,Federico II University,Phase 4
NCT00627796,2003.0,OTHER,collaborator,University of Genova,Phase 4
NCT00627991,2007.0,OTHER,lead,Stanford University,Not Applicable
NCT00627991,2007.0,INDUSTRY,collaborator,Novartis Pharmaceuticals,Not Applicable
NCT00628017,2003.0,OTHER,lead,"Taipei City Psychiatric Center, Taiwan",Not Applicable
NCT00628017,2003.0,OTHER_GOV,collaborator,"Department of Health, Executive Yuan, R.O.C. (Taiwan)",Not Applicable
NCT00628290,2002.0,OTHER,lead,University of Cologne,Phase 2
NCT00628316,2008.0,OTHER,lead,Faculdade de Medicina de Valenca,Not Applicable
NCT00628420,2005.0,OTHER,lead,University of Texas Southwestern Medical Center,Phase 1
NCT00628420,2005.0,OTHER,collaborator,Stanley Medical Research Institute,Phase 1
NCT00628420,2005.0,INDUSTRY,collaborator,ACADIA Pharmaceuticals Inc.,Phase 1
NCT00629161,2008.0,OTHER,lead,Fudan University,Phase 2/Phase 3
NCT00629187,2004.0,OTHER,lead,Tufts Medical Center,Phase 1
NCT00629252,2008.0,OTHER,lead,University of Zurich,Not Applicable
NCT00629252,2008.0,OTHER,collaborator,"University Hospital of Psychiatry, Department Neuropsychopharmacology and Brain Imaging",Not Applicable
NCT00629252,2008.0,INDUSTRY,collaborator,H. Lundbeck A/S,Not Applicable
NCT00629642,2008.0,INDUSTRY,lead,Astellas Pharma Inc,Phase 4
NCT00629889,2008.0,OTHER,lead,Dr Andrea Rossetti,Phase 2
NCT00630097,2009.0,OTHER,lead,California Pacific Medical Center Research Institute,Phase 2
NCT00630175,2003.0,INDUSTRY,lead,Sanofi,Phase 3
NCT00630357,2003.0,INDUSTRY,lead,UCB Pharma,Phase 4
NCT00630383,2008.0,OTHER,lead,University of Nottingham,Phase 2
NCT00630396,2008.0,OTHER,lead,"David Hess, MD",Phase 1/Phase 2
NCT00630396,2008.0,NIH,collaborator,National Institute of Neurological Disorders and Stroke (NINDS),Phase 1/Phase 2
NCT00630396,2008.0,OTHER,collaborator,University of Kentucky,Phase 1/Phase 2
NCT00630396,2008.0,OTHER,collaborator,Oregon Health and Science University,Phase 1/Phase 2
NCT00630474,2004.0,OTHER,lead,University of Zurich,Phase 4
NCT00630630,2002.0,INDUSTRY,lead,UCB Pharma,Phase 4
NCT00630721,2007.0,OTHER,lead,"University of North Carolina, Chapel Hill",Not Applicable
NCT00630747,2004.0,INDUSTRY,lead,Shire,Phase 2/Phase 3
NCT00630851,2002.0,INDUSTRY,lead,Pfizer,Phase 3
NCT00630968,2000.0,INDUSTRY,lead,UCB Pharma,Phase 4
NCT00631150,2003.0,INDUSTRY,lead,UCB Pharma,Phase 4
NCT00631202,2008.0,OTHER,lead,Federico II University,Phase 2
NCT00631657,2008.0,INDUSTRY,lead,Merck Sharp & Dohme LLC,Phase 3
NCT00631722,2007.0,OTHER,lead,Peking University,Not Applicable
NCT00631748,2008.0,OTHER,lead,Seattle Institute for Biomedical and Clinical Research,Not Applicable
NCT00631748,2008.0,FED,collaborator,VA Puget Sound Health Care System,Not Applicable
NCT00631748,2008.0,INDUSTRY,collaborator,AstraZeneca,Not Applicable
NCT00631943,2004.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 3
NCT00631969,2008.0,INDUSTRY,lead,Bayer,Phase 3
NCT00631969,2008.0,INDUSTRY,collaborator,GlaxoSmithKline,Phase 3
NCT00631969,2008.0,INDUSTRY,collaborator,Schering-Plough,Phase 3
NCT00631995,2008.0,INDUSTRY,lead,"Sanofi Pasteur, a Sanofi Company",Phase 1
NCT00632099,2008.0,OTHER,lead,New York State Psychiatric Institute,Phase 2/Phase 3
NCT00632099,2008.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2/Phase 3
NCT00632229,2007.0,OTHER,lead,University of South Florida,Phase 2
NCT00632229,2007.0,OTHER,collaborator,Indiana University,Phase 2
NCT00632229,2007.0,INDUSTRY,collaborator,"Ortho-McNeil Janssen Scientific Affairs, LLC",Phase 2
NCT00632385,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00632528,2008.0,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Phase 3
NCT00632632,2005.0,OTHER,lead,Weill Medical College of Cornell University,Not Applicable
NCT00632645,2009.0,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Phase 3
NCT00632736,2004.0,INDUSTRY,lead,GlaxoSmithKline,Phase 3
NCT00632762,2007.0,OTHER,lead,"University Hospital, Toulouse",Phase 4
NCT00633360,2008.0,OTHER,lead,Massachusetts General Hospital,Not Applicable
NCT00633360,2008.0,INDUSTRY,collaborator,Bayer,Not Applicable
NCT00633841,2008.0,INDUSTRY,lead,Affiris AG,Phase 1
NCT00634062,2004.0,OTHER,lead,Mclean Hospital,Phase 4
NCT00634062,2004.0,INDUSTRY,collaborator,GlaxoSmithKline,Phase 4
NCT00634270,2008.0,OTHER,lead,University of Alabama at Birmingham,Phase 2
NCT00634270,2008.0,OTHER,collaborator,Boston Children's Hospital,Phase 2
NCT00634270,2008.0,OTHER,collaborator,Children's Hospital of Philadelphia,Phase 2
NCT00634270,2008.0,OTHER,collaborator,Children's National Research Institute,Phase 2
NCT00634270,2008.0,OTHER,collaborator,"Children's Hospital Medical Center, Cincinnati",Phase 2
NCT00634270,2008.0,NIH,collaborator,National Cancer Institute (NCI),Phase 2
NCT00634270,2008.0,OTHER,collaborator,University of Chicago,Phase 2
NCT00634270,2008.0,OTHER,collaborator,University of Utah,Phase 2
NCT00634270,2008.0,OTHER,collaborator,Washington University School of Medicine,Phase 2
NCT00634283,2008.0,OTHER,lead,"University of California, Los Angeles",Phase 4
NCT00634348,2004.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00634543,2006.0,INDUSTRY,lead,"Janssen Korea, Ltd., Korea",Phase 4
NCT00634556,2006.0,OTHER,lead,Washington University School of Medicine,Phase 1
NCT00634556,2006.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 1
NCT00634660,2008.0,INDUSTRY,lead,BioMarin Pharmaceutical,Phase 1
NCT00634790,2004.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00634972,2005.0,OTHER,lead,University of South Alabama,Phase 4
NCT00634985,2002.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00634998,2007.0,OTHER,lead,Washington State University,Phase 1
NCT00635076,2004.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00635128,2008.0,INDUSTRY,lead,GlaxoSmithKline,Phase 4
NCT00635531,2004.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00635765,2007.0,INDUSTRY,lead,"Ambrilia Biopharma, Inc.",Phase 3
NCT00635921,2004.0,OTHER,lead,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Phase 2
NCT00635921,2004.0,OTHER_GOV,collaborator,"Ministry of Health, Spain",Phase 2
NCT00635921,2004.0,UNKNOWN,collaborator,REM-TAP Network,Phase 2
NCT00635921,2004.0,INDUSTRY,collaborator,Pfizer,Phase 2
NCT00635960,2007.0,OTHER,lead,Federico II University,Phase 2
NCT00635960,2007.0,UNKNOWN,collaborator,"Istituto Biostrutture e Immagini, CNR Naples",Phase 2
NCT00635960,2007.0,OTHER_GOV,collaborator,Agenzia Italiana del Farmaco,Phase 2
NCT00636415,2004.0,OTHER,lead,Federal University of São Paulo,Not Applicable
NCT00636649,2008.0,OTHER,lead,Duke University,Not Applicable
NCT00636649,2008.0,OTHER,collaborator,St. Louis University,Not Applicable
NCT00636766,2005.0,OTHER,lead,Aristotle University Of Thessaloniki,Not Applicable
NCT00637221,2008.0,INDUSTRY,lead,Neuropharm,Phase 1/Phase 2
NCT00637234,2004.0,OTHER,lead,University of Cologne,Phase 2/Phase 3
NCT00637286,2004.0,INDUSTRY,lead,AstraZeneca,Phase 4
NCT00637416,2008.0,OTHER,lead,University of Kansas Medical Center,Phase 4
NCT00637416,2008.0,INDUSTRY,collaborator,TAP Pharmaceutical Products Inc.,Phase 4
NCT00637442,2008.0,OTHER,lead,"University Hospital, Bonn",Not Applicable
NCT00637442,2008.0,OTHER_GOV,collaborator,"Federal Ministry of Health, Germany",Not Applicable
NCT00637468,2002.0,OTHER,lead,University Hospital Freiburg,Phase 3
NCT00637468,2002.0,INDUSTRY,collaborator,Boehringer Ingelheim,Phase 3
NCT00637494,2008.0,INDUSTRY,lead,Corcept Therapeutics,Phase 3
NCT00638027,2006.0,OTHER,lead,University of Rochester,Phase 4
NCT00638027,2006.0,INDUSTRY,collaborator,Forest Laboratories,Phase 4
NCT00638053,2002.0,INDUSTRY,lead,Pfizer,Phase 4
NCT00638196,2008.0,OTHER,lead,University of Rochester,Phase 1
NCT00638248,2003.0,INDUSTRY,lead,PAION Deutschland GmbH,Phase 1/Phase 2
NCT00638781,2001.0,INDUSTRY,lead,PAION Deutschland GmbH,Phase 2
NCT00638833,2007.0,OTHER,lead,"Clinica Universidad de Navarra, Universidad de Navarra",Phase 2
NCT00638833,2007.0,INDUSTRY,collaborator,H. Lundbeck A/S,Phase 2
NCT00638963,2008.0,INDUSTRY,lead,Merck Sharp & Dohme LLC,Phase 2
NCT00639119,2007.0,OTHER,lead,University of Turku,Phase 2
NCT00639483,2003.0,INDUSTRY,lead,Pfizer,Phase 2
NCT00639730,2006.0,OTHER,lead,Johns Hopkins University,Phase 1
NCT00639730,2006.0,OTHER,collaborator,Vascular Birthmarks Foundation,Phase 1
NCT00640003,2007.0,OTHER,lead,Johns Hopkins University,Early Phase 1
NCT00640159,2007.0,OTHER,lead,Baylor College of Medicine,Phase 4
NCT00640198,2005.0,OTHER,lead,Gabinete Berthier y Martínez,Phase 4
NCT00640198,2005.0,INDUSTRY,collaborator,H. Lundbeck A/S,Phase 4
NCT00640328,2008.0,INDUSTRY,lead,GlaxoSmithKline,Phase 2
NCT00640367,2008.0,OTHER,lead,Niguarda Hospital,Phase 3
NCT00640510,2008.0,INDUSTRY,lead,Eli Lilly and Company,Phase 3
NCT00640562,2008.0,INDUSTRY,lead,AstraZeneca,Phase 3
NCT00640601,2008.0,INDUSTRY,lead,AstraZeneca,Phase 3
NCT00640952,2006.0,OTHER,lead,Baylor College of Medicine,Not Applicable
NCT00640952,2006.0,OTHER,collaborator,National Parkinson Foundation,Not Applicable
NCT00640965,2008.0,INDUSTRY,lead,D-Pharm Ltd.,Phase 2
NCT00641108,2008.0,OTHER,lead,University of Pennsylvania,Phase 2/Phase 3
NCT00641108,2008.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 2/Phase 3
NCT00641173,2008.0,FED,lead,US Department of Veterans Affairs,Not Applicable
NCT00641173,2008.0,OTHER,collaborator,Emory University,Not Applicable
NCT00641186,2004.0,OTHER,lead,Baylor College of Medicine,Phase 2
NCT00641186,2004.0,INDUSTRY,collaborator,Jazz Pharmaceuticals,Phase 2
NCT00641303,2008.0,OTHER,lead,"University of Maryland, Baltimore",Not Applicable
NCT00641303,2008.0,NIH,collaborator,National Cancer Institute (NCI),Not Applicable
NCT00641303,2008.0,OTHER,collaborator,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Not Applicable
NCT00641537,2008.0,INDUSTRY,lead,"EMD Serono Research & Development Institute, Inc.",Phase 3
NCT00641719,2008.0,INDUSTRY,lead,Eli Lilly and Company,Phase 3
NCT00641719,2008.0,INDUSTRY,collaborator,Shionogi,Phase 3
NCT00641745,2008.0,INDUSTRY,lead,"Sumitomo Pharma America, Inc.",Phase 3
NCT00641797,2006.0,OTHER,lead,Lehigh Valley Hospital,Not Applicable
NCT00642356,2008.0,INDUSTRY,lead,Novartis,Phase 4
NCT00642369,2008.0,OTHER,lead,Guang Dong Provincial Mental Health Institute,Not Applicable
NCT00642421,2008.0,INDUSTRY,lead,"Ambrilia Biopharma, Inc.",Phase 3
NCT00642720,2006.0,OTHER,lead,Erasmus Medical Center,Phase 4
NCT00642889,2005.0,INDUSTRY,lead,Newron Pharmaceuticals SPA,Phase 3
NCT00642928,2007.0,OTHER,lead,Bioprojet,Phase 2
NCT00643045,2004.0,INDUSTRY,lead,Newron Pharmaceuticals SPA,Phase 3
NCT00643123,2007.0,OTHER,lead,Cedars-Sinai Medical Center,Phase 4
NCT00643123,2007.0,OTHER,collaborator,National Alliance for Research on Schizophrenia and Depression,Phase 4
NCT00643136,2002.0,INDUSTRY,lead,Pfizer,Phase 3
NCT00643162,2006.0,OTHER,lead,Cedars-Sinai Medical Center,Not Applicable
NCT00643162,2006.0,INDUSTRY,collaborator,Forest Laboratories,Not Applicable
NCT00643500,2002.0,INDUSTRY,lead,UCB Pharma,Phase 4
NCT00643760,2008.0,INDUSTRY,lead,"XenoPort, Inc.",Phase 2
NCT00643890,2008.0,INDUSTRY,lead,"Neurologix, Inc.",Phase 2
NCT00643916,2004.0,INDUSTRY,lead,"Sanofi Pasteur, a Sanofi Company",Phase 2
NCT00644007,2007.0,INDUSTRY,lead,"SK Chemicals Co., Ltd.",Phase 3
NCT00644137,2007.0,OTHER,lead,Yale University,Early Phase 1
NCT00644137,2007.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Early Phase 1
NCT00644137,2007.0,FED,collaborator,US Department of Veterans Affairs,Early Phase 1
NCT00644423,2008.0,FED,lead,Durham VA Medical Center,Not Applicable
NCT00644631,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00644748,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00644800,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00644904,2006.0,OTHER,lead,University of Toronto,Phase 1/Phase 2
NCT00644904,2006.0,UNKNOWN,collaborator,Direct MS-Proactive Charity,Phase 1/Phase 2
NCT00644904,2006.0,OTHER,collaborator,Multiple Sclerosis Society of Canada,Phase 1/Phase 2
NCT00644956,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00645099,2007.0,INDUSTRY,lead,Janssen-Cilag International NV,Phase 3
NCT00645190,2004.0,INDUSTRY,lead,Xian-Janssen Pharmaceutical Ltd.,Phase 3
NCT00645229,2004.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 3
NCT00645268,2002.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00645307,2004.0,INDUSTRY,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Phase 3
NCT00645372,2004.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 3
NCT00645398,2004.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 3
NCT00645450,2008.0,FED,lead,VA Office of Research and Development,Phase 4
NCT00645502,2003.0,INDUSTRY,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Phase 1
NCT00645515,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 3
NCT00645580,2008.0,OTHER,lead,Sha'ar Menashe Mental Health Center,Not Applicable
NCT00645749,2008.0,OTHER,lead,"University of Wisconsin, Madison",Phase 1
NCT00645749,2008.0,OTHER,collaborator,National Multiple Sclerosis Society,Phase 1
NCT00645944,2008.0,OTHER,lead,Yale University,Not Applicable
NCT00645944,2008.0,INDUSTRY,collaborator,"Sumitomo Pharma America, Inc.",Not Applicable
NCT00646204,2006.0,OTHER,lead,Baylor College of Medicine,Phase 4
NCT00646204,2006.0,INDUSTRY,collaborator,Forest Laboratories,Phase 4
NCT00646451,2006.0,OTHER,lead,Baylor College of Medicine,Early Phase 1
NCT00646451,2006.0,INDUSTRY,collaborator,Pfizer,Early Phase 1
NCT00646581,2006.0,OTHER,lead,"University of Massachusetts, Worcester",Phase 4
NCT00647296,2008.0,INDUSTRY,lead,Knopp Biosciences,Phase 2
NCT00647998,2008.0,OTHER,lead,University of Pennsylvania,Phase 2
NCT00648375,2003.0,OTHER,lead,Weill Medical College of Cornell University,Phase 4
NCT00648375,2003.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 4
NCT00648596,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00648908,2006.0,INDUSTRY,lead,Acorda Therapeutics,Phase 3
NCT00649064,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00649207,2008.0,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Phase 1
NCT00649220,2008.0,INDUSTRY,lead,Merz Pharmaceuticals GmbH,Phase 4
NCT00649792,2007.0,INDUSTRY,lead,Acorda Therapeutics,Phase 3
NCT00649844,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 3
NCT00649961,2010.0,OTHER,lead,Imperial College London,Phase 2
NCT00649961,2010.0,OTHER_GOV,collaborator,British Medical Research Council,Phase 2
NCT00650104,2002.0,INDUSTRY,lead,GlaxoSmithKline,Phase 3
NCT00650429,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00650611,2003.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 2
NCT00650793,2004.0,INDUSTRY,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Phase 3
NCT00650871,2004.0,INDUSTRY,lead,GlaxoSmithKline,Phase 2
NCT00651040,2008.0,OTHER,lead,"Institute of Rheumatology, Prague",Phase 3
NCT00651040,2008.0,OTHER,collaborator,Karolinska Institutet,Phase 3
NCT00651690,2004.0,INDUSTRY,lead,Allergan,Phase 2
NCT00651729,2003.0,INDUSTRY,lead,Allergan,Phase 2
NCT00652171,2004.0,OTHER_GOV,lead,Institute of Social Security of the Civil Servants of Minas Gerais,Phase 3
NCT00652184,2008.0,INDUSTRY,lead,"aRigen Pharmaceuticals, Inc.",Phase 2
NCT00652262,2004.0,INDUSTRY,lead,Bayer,Phase 3
NCT00652379,2008.0,OTHER,lead,University of Aarhus,Not Applicable
NCT00652379,2008.0,OTHER,collaborator,Aarhus University Hospital Skejby,Not Applicable
NCT00652379,2008.0,OTHER,collaborator,Aarhus University Hospital,Not Applicable
NCT00652379,2008.0,OTHER,collaborator,"The Research Council for Health and Disease, Denmark",Not Applicable
NCT00652457,2004.0,OTHER,lead,"Jody Corey-Bloom, MD, PhD",Phase 4
NCT00652457,2004.0,INDUSTRY,collaborator,Forest Laboratories,Phase 4
NCT00653406,2002.0,INDUSTRY,lead,Janssen Pharmaceutical K.K.,Phase 1/Phase 2
NCT00653562,2006.0,INDUSTRY,lead,Astellas Pharma Inc,Phase 4
NCT00654082,2002.0,INDUSTRY,lead,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Phase 4
NCT00654394,2000.0,INDUSTRY,lead,AstraZeneca,Phase 3
NCT00654498,2008.0,INDUSTRY,lead,Boehringer Ingelheim,Phase 3
NCT00654576,2005.0,OTHER,lead,Central South University,Phase 4
NCT00654576,2005.0,OTHER,collaborator,Shanghai Mental Health Center,Phase 4
NCT00654576,2005.0,OTHER,collaborator,Sichuan University,Phase 4
NCT00654576,2005.0,OTHER,collaborator,Capital Medical University,Phase 4
NCT00654576,2005.0,OTHER,collaborator,Nanjing Medical University,Phase 4
NCT00654576,2005.0,UNKNOWN,collaborator,Jiangxi Mental Hospital,Phase 4
NCT00654576,2005.0,OTHER,collaborator,Hunan Mental Hospital,Phase 4
NCT00654576,2005.0,OTHER,collaborator,Guangzhou Mental Hospital,Phase 4
NCT00654576,2005.0,UNKNOWN,collaborator,Chongqing Metal Institute,Phase 4
NCT00654576,2005.0,UNKNOWN,collaborator,Henan Mental Hospital,Phase 4
NCT00654680,2002.0,INDUSTRY,lead,Bayer,Phase 3
NCT00654680,2002.0,INDUSTRY,collaborator,GlaxoSmithKline,Phase 3
NCT00654706,2008.0,INDUSTRY,lead,H. Lundbeck A/S,Phase 3
NCT00654901,2008.0,INDUSTRY,lead,"Sanofi Pasteur, a Sanofi Company",Phase 3
